pivot_id,area_ha,season,aeti_mm,npp_gC_m2,pcp_mm,is_active,biomass_dry_kg_ha,water_consumed_m3_ha,cwp,niwr_mm,demand_vol_m3,abstraction_vol_m3
159,50.24391393,2021/22,0,0,0.4,0,0,0,,0,0,0
160,37.16852129,2021/22,660.1614268,837.7724341,0.3,1,18598.54804,6601.614268,2.817272758,659.9214268,245283.036,288568.2777
161,46.13155391,2021/22,0,0,0.338921002,0,0,0,,0,0,0
162,47.7325274,2021/22,0,0,0.4,0,0,0,,0,0,0
163,37.36482063,2021/22,0,0,0.355060241,0,0,0,,0,0,0
164,45.04159687,2021/22,0,0,0.4,0,0,0,,0,0,0
165,48.7951395,2021/22,0,0,0.4,0,0,0,,0,0,0
0,65.0148518,2022/23,0,0,0.1,0,0,0,,0,0,0
1,50.3416763,2022/23,0,0,0.1,0,0,0,,0,0,0
2,64.11495942,2022/23,0,0,0.1,0,0,0,,0,0,0
3,65.16100291,2022/23,0,0,0.1,0,0,0,,0,0,0
4,52.90348001,2022/23,379.9868509,281.8070193,0.1,1,6256.115828,3799.868509,1.646403241,379.9068509,200983.9449,236451.6999
5,65.26255794,2022/23,0,0,0.1,0,0,0,,0,0,0
6,38.30149519,2022/23,0,0,0.1,0,0,0,,0,0,0
7,37.36954717,2022/23,0,0,0.1,0,0,0,,0,0,0
8,50.94012546,2022/23,0,0,0.1,0,0,0,,0,0,0
9,64.41507513,2022/23,413.6949014,320.3397437,0.1,1,7111.54231,4136.949014,1.719030688,413.6149014,266430.3495,313447.47
10,65.88292586,2022/23,0,0,0.1,0,0,0,,0,0,0
11,51.88836591,2022/23,0,0,0.1,0,0,0,,0,0,0
12,64.66598902,2022/23,0,0,0.1,0,0,0,,0,0,0
13,66.45888558,2022/23,0,0,0.1,0,0,0,,0,0,0
14,65.74872025,2022/23,396.1326693,311.1995133,0.1,1,6908.629195,3961.326693,1.744019045,396.0526693,260399.5616,306352.4254
15,38.06014169,2022/23,390.122209,294.5,0.1,1,6537.9,3901.22209,1.675859474,390.042209,148450.6174,174647.7852
16,63.9587681,2022/23,0,0,0.1,0,0,0,,0,0,0
17,62.79966413,2022/23,0,0,0.1,0,0,0,,0,0,0
18,49.18683288,2022/23,0,0,0.1,0,0,0,,0,0,0
19,63.77669291,2022/23,369.6288264,260.4603301,0.1,1,5782.219329,3696.288264,1.564331274,369.5488264,235686.0202,277277.6708
20,62.60891416,2022/23,0,0,0.1,0,0,0,,0,0,0
21,62.28617812,2022/23,0,0,0.1,0,0,0,,0,0,0
22,63.45488099,2022/23,0,0,0.1,0,0,0,,0,0,0
23,63.3432119,2022/23,409.6100138,301.3029157,0.1,1,6688.92473,4096.100138,1.632998341,409.5300138,259409.4644,305187.6052
24,64.40515818,2022/23,378.4480978,262.6162615,0.1,1,5830.081006,3784.480978,1.540523269,378.3680978,243688.5719,286692.4375
25,34.75627068,2022/23,0,0,0.1,0,0,0,,0,0,0
26,37.34794249,2022/23,0,0,0.1,0,0,0,,0,0,0
27,61.58773031,2022/23,400.3409415,288.6527917,0.1,1,6408.091976,4003.409415,1.600658667,400.2609415,246511.6292,290013.6814
28,18.84882855,2022/23,370.7109137,251.6811548,0.1,1,5587.321637,3707.109137,1.50719103,370.6309137,69859.58548,82187.74762
29,62.64923786,2022/23,0,0,0.1,0,0,0,,0,0,0
30,62.56869146,2022/23,402.8008403,309.1619118,0.1,1,6863.394441,4028.008403,1.703917607,402.7208403,251977.16,296443.7177
31,64.27068133,2022/23,411.6267165,295.9901033,0.1,1,6570.980294,4116.267165,1.596344462,411.5467165,264503.8787,311181.0338
